node_id,baseline_lst_c,delta_t_Tree Plantation (+20% NDVI),delta_t_Cool Roofs (+30% Albedo),delta_t_Green Corridors (+15% Veg Fraction),delta_t_Reduced Impervious Surface (-20%),delta_t_Building Density Reduction (-10%)
717,52.18,-0.126,-0.064,0.049,0.051,0.003
2548,52.12,-0.084,-0.093,0.033,0.016,0.001
625,51.97,-0.132,-0.07,0.051,0.056,0.006
626,51.97,-0.123,-0.06,0.047,0.055,0.006
718,51.95,-0.127,-0.066,0.048,0.055,0.009
716,51.93,-0.129,-0.066,0.051,0.057,0.006
2457,51.64,-0.084,-0.11,0.025,0.019,-0.007
808,51.58,-0.131,-0.07,0.051,0.056,0.008
627,51.58,-0.129,-0.065,0.036,0.056,0.008
624,51.56,-0.133,-0.07,0.052,0.06,0.008
