Cost_Cr,Cooling_C,Trees_Pct,Roofs_Pct,Pavements_Pct,Corridors_Pct
0.0,0.0,0.0,0.0,0.0,0.0
0.41,0.016,2.4,0.5,0.0,0.0
1.46,0.049,5.6,3.9,0.3,0.8
1.97,0.074,5.6,11.0,0.1,0.8
2.52,0.1,13.8,4.7,0.2,0.1
2.58,0.102,14.0,5.0,0.2,0.1
3.14,0.134,4.7,30.3,0.0,0.0
3.67,0.154,5.7,34.0,0.1,0.3
3.99,0.17,7.4,35.9,0.0,0.0
4.68,0.196,14.5,31.1,0.0,0.1
4.96,0.217,0.3,61.3,0.0,0.0
5.21,0.226,3.2,59.1,0.0,0.0
6.05,0.264,0.1,75.3,0.0,0.0
7.47,0.325,4.0,85.8,0.0,0.0
7.88,0.344,0.0,98.3,0.0,0.0
8.39,0.366,3.1,99.1,0.0,0.0
8.93,0.385,7.4,97.1,0.0,0.2
9.32,0.4,15.6,87.2,0.0,0.0
9.78,0.421,14.4,95.1,0.0,0.0
10.23,0.44,15.6,98.6,0.0,0.0
10.8,0.46,25.1,87.9,0.0,0.0
11.17,0.478,21.9,98.5,0.0,0.0
11.91,0.505,32.0,88.7,0.0,0.0
12.57,0.532,36.4,88.7,0.0,0.0
12.92,0.549,34.0,97.5,0.1,0.0
13.59,0.568,36.3,98.5,0.1,0.9
13.79,0.585,39.4,98.3,0.0,0.0
14.26,0.601,44.4,94.4,0.0,0.2
14.85,0.622,57.0,78.7,0.0,0.0
15.11,0.637,47.0,100.0,0.0,0.2
15.78,0.665,53.4,96.9,0.0,0.0
16.24,0.683,56.4,97.0,0.0,0.1
16.84,0.704,58.2,99.4,0.2,0.3
17.02,0.712,59.5,99.4,0.2,0.3
17.45,0.728,62.0,99.4,0.4,0.3
18.06,0.757,67.8,98.2,0.1,0.0
18.34,0.766,68.0,100.0,0.4,0.1
19.09,0.787,95.7,59.1,0.0,0.0
19.14,0.789,96.0,59.1,0.0,0.0
19.56,0.815,77.9,97.0,0.2,0.2
20.13,0.836,86.0,89.0,0.1,0.3
20.49,0.854,86.0,94.1,0.1,0.1
20.69,0.863,86.0,96.6,0.1,0.1
21.14,0.877,86.6,99.1,0.3,0.5
21.84,0.909,94.0,95.8,0.2,0.1
22.78,0.931,95.3,98.8,0.0,1.9
24.16,0.968,100.0,100.0,0.1,3.8
25.01,0.975,100.0,100.0,0.9,5.9
26.61,0.979,99.5,99.1,10.0,4.1
29.63,1.007,100.0,100.0,9.1,14.5
30.84,1.013,100.0,98.8,2.8,24.1
30.93,1.017,100.0,99.9,2.8,24.1
32.62,1.03,100.0,99.7,0.3,31.9
33.49,1.036,100.0,100.0,3.6,32.0
33.91,1.039,100.0,100.0,5.3,32.0
35.63,1.042,99.8,100.0,48.1,2.1
36.02,1.046,100.0,100.0,49.5,2.1
36.76,1.06,100.0,100.0,5.3,41.5
39.3,1.075,99.7,100.0,13.5,43.2
39.91,1.08,99.7,100.0,15.9,43.2
40.57,1.084,100.0,98.4,0.3,58.8
41.51,1.095,100.0,99.9,0.3,61.5
42.41,1.102,100.0,99.9,0.3,64.5
42.81,1.105,100.0,100.0,0.1,66.0
43.94,1.11,99.7,100.0,10.6,61.1
45.47,1.118,99.3,99.2,0.0,75.5
45.72,1.127,100.0,100.0,0.1,75.7
47.63,1.131,99.9,97.1,0.9,82.2
48.39,1.137,99.9,97.1,0.9,84.7
49.22,1.152,100.0,100.0,0.2,87.2
50.32,1.16,100.0,100.0,0.1,91.0
51.34,1.166,100.0,100.0,8.7,87.2
51.78,1.167,99.7,99.1,0.2,96.1
52.82,1.179,100.0,100.0,0.2,99.2
54.01,1.184,99.6,100.0,4.9,99.5
55.16,1.194,99.9,100.0,9.6,99.2
56.34,1.2,99.7,100.0,13.7,99.9
57.98,1.211,99.7,100.0,20.2,99.9
60.15,1.216,99.8,100.0,80.0,57.3
60.42,1.225,100.0,100.0,48.0,84.8
61.16,1.23,100.0,99.7,48.4,87.0
61.76,1.235,100.0,100.0,48.0,89.2
62.74,1.242,100.0,100.0,48.0,92.5
63.85,1.25,100.0,100.0,48.0,96.2
64.53,1.255,100.0,100.0,46.9,99.3
66.13,1.266,99.9,100.0,52.6,100.0
67.38,1.272,99.7,100.0,57.7,100.0
67.53,1.275,100.0,100.0,59.3,99.1
69.29,1.277,100.0,98.2,84.3,84.5
69.99,1.288,100.0,99.7,83.7,87.0
70.34,1.293,100.0,99.9,71.0,98.7
71.58,1.301,100.0,99.9,77.5,97.4
72.97,1.307,99.8,99.2,80.9,99.4
73.65,1.315,100.0,99.9,84.2,98.7
75.01,1.322,99.9,100.0,99.7,90.3
76.32,1.332,100.0,100.0,100.0,94.4
76.4,1.333,100.0,100.0,94.2,99.5
77.57,1.34,100.0,99.7,98.4,100.0
78.0,1.344,100.0,100.0,100.0,100.0
